-3.37,-3.85,310.77,-2.99,-2.89,-2.01,-1.47,-6.48,-5.01,-3.00,-3.00,-3.00
-1.49,-5.83,308.74,-4.99,-4.89,-4.00,-3.54,-8.36,-7.01,-5.00,-5.00,-5.00
-0.39,-6.84,307.72,-5.99,-5.89,-5.00,-4.60,-9.48,-8.08,-6.00,-6.00,-6.00
-9.45,2.23,316.70,3.01,3.11,4.00,4.46,-0.48,0.99,3.00,3.00,3.00
-0.48,-6.70,307.67,-5.99,-5.89,-5.00,-4.54,-9.48,-8.01,-6.00,-6.00,-6.00
-5.42,-1.80,312.65,-0.99,-0.89,0.00,0.53,-4.60,-2.95,-1.00,-1.00,-1.00
-7.34,0.23,314.63,1.01,1.11,2.00,2.53,-2.60,-0.95,1.00,1.00,1.00
-1.30,-5.71,308.61,-4.99,-4.89,-4.00,-3.47,-8.54,-7.01,-5.00,-5.00,-5.00
-10.40,3.19,317.58,4.02,4.11,5.00,5.59,0.40,1.86,4.00,4.00,4.00
-6.51,-0.91,313.56,0.02,0.11,1.00,1.59,-3.60,-2.14,0.00,0.00,0.00
-3.45,-3.85,310.54,-2.99,-2.89,-2.00,-1.41,-6.66,-5.14,-3.00,-3.00,-3.00
-2.38,-4.82,309.51,-3.99,-3.89,-3.00,-2.60,-7.60,-6.01,-4.00,-4.00,-4.00
-2.32,-4.77,309.49,-3.99,-3.89,-3.00,-2.60,-7.60,-6.01,-4.00,-4.00,-4.00
-11.45,4.23,318.47,5.01,5.11,6.00,6.40,1.52,3.05,5.00,5.00,5.00
-5.44,-1.91,312.45,-0.98,-0.89,0.00,0.40,-4.60,-2.95,-1.00,-1.00,-1.00
-4.38,-2.86,311.42,-1.98,-1.89,-1.00,-0.60,-5.60,-3.95,-2.00,-2.00,-2.00
-1.33,-5.80,308.40,-4.99,-4.89,-4.00,-3.60,-8.54,-6.95,-5.00,-5.00,-5.00
-7.25,0.21,314.38,1.01,1.11,2.00,2.59,-2.42,-0.95,1.00,1.00,1.00
-10.25,3.29,317.36,4.01,4.11,5.00,5.59,0.58,2.05,4.00,4.00,4.00
-8.31,1.16,315.34,2.01,2.11,3.00,3.65,-1.60,-0.01,2.00,2.00,2.00
-6.23,-0.82,313.31,0.01,0.11,1.00,1.59,-3.66,-2.01,0.00,0.00,0.00
