,-3.23,-4.39
-0.88,1.64,65.87,86.00,-66.00,2.00,-25.00,7.00,279.00,1.81,-0.20,-2.43,-0.96,1.63,65.79,-29.66,-17.46,1020.39,2.38,-3.11,-4.33
-0.96,1.63,65.79,79.00,-70.00,2.00,-26.00,8.00,277.00,1.81,-0.20,-2.43,-1.04,1.57,65.74,-28.56,-18.80,1021.73,2.44,-3.11,-4.39
-0.96,1.63,65.79,79.00,-70.00,2.00,-26.00,8.00,277.00,1.81,-0.20,-2.43,-1.10,1.61,65.70,-28.56,-19.17,1021.85,2.44,-3.17,-4.39
-1.10,1.61,65.70,90.00,-59.00,4.00,-26.00,9.00,279.00,1.81,-0.20,-2.43,-1.04,1.69,65.66,-29.79,-19.17,1020.26,2.38,-3.23,-4.52
-1.10,1.61,65.70,90.00,-59.00,4.00,-26.00,9.00,279.00,1.81,-0.20,-2.43,-1.04,1.69,65.66,-29.79,-19.17,1020.26,2.38,-3.23,-4.52
-1.04,1.69,65.66,97.00,-48.00,5.00,-28.00,8.00,277.00,1.81,-0.20,-2.43,-0.94,1.58,65.62,-29.17,-17.58,1020.87,2.44,-3.30,-4.39
-1.04,1.69,65.66,97.00,-48.00,5.00,-28.00,8.00,277.00,1.81,-0.20,-2.43,-1.02,1.55,65.57,-28.20,-17.33,1022.09,2.38,-3.17,-4.46
-1.02,1.55,65.57,92.00,-61.00,1.00,-27.00,9.00,276.00,1.81,-0.20,-2.43,-0.97,1.63,65.53,-29.30,-17.70,1021.48,2.38,-3.17,-4.39
-1.02,1.55,65.57,92.00,-61.00,1.00,-27.00,9.00,276.00,1.81,-0.20,-2.43,-1.01,1.69,65.49,-29.54,-17.58,1021.00,2.44,-3.17,-4.39
-1.01,1.69,65.49,93.00,-35.00,6.00,-25.00,8.00,278.00,1.81,-0.20,-2.43,-1.02,1.55,65.44,-28.20,-18.55,1020.87,2.44,-3.23,-4.46
-1.01,1.69,65.49,93.00,-35.00,6.00,-25.00,8.00,278.00,1.81,-0.20,-2.43,-0.89,1.51,65.40,-27.59,-17.58,1021.24,2.32,-3.23,-4.46
-0.89,1.51,65.40,115.00,-52.00,2.00,-27.00,8.00,278.00,1.81,-0.20,-2.43,-0.94,1.56,65.36,-28.56,-17.46,1024.17,2.38,-3.11,-4.39
-0.89,1.51,65.40,115.00,-52.00,2.00,-27.00,8.00,278.00,1.81,-0.20,-2.43,-0.94,1.56,65.36,-28.56,-17.46,1024.17,2.38,-3.11,-4.39
-0.94,1.56,65.36,88.00,-53.00,4.00,-26.00,8.00,277.00,1.81,-0.20,-2.43,-0.97,1.62,65.32,-29.42,-17.58,1020.39,2.38,-3.17,-4.39
-0.94,1.56,65.36,88.00,-53.00,4.00,-26.00,8.00,277.00,1.81,-0.20,-2.43,-0.97,1.62,65.32,-29.42,-17.58,1020.39,2.38,-3.17,-4.39
-0.97,1.62,65.32,79.00,-72.00,3.00,-27.00,8.00,277.00,1.81,-0.20,-2.43,-1.06,1.60,65.27,-29.05,-18.43,1022.46,2.44,-3.11,-4.46
-0.97,1.62,65.32,79.00,-72.00,3.00,-27.00,8.00,277.00,1.81,-0.20,-2.43,-1.14,1.61,65.23,-28.69,-19.29,1020.51,2.38,-3.17,-4.52
